"__uniqueid__","content","_TextTopic_10","_TextTopic_9","_TextTopic_8","_TextTopic_7","_TextTopic_6","_TextTopic_5","_TextTopic_4","_TextTopic_3","_TextTopic_2","_TextTopic_1","_Col10_","_Col9_","_Col8_","_Col7_","_Col6_","_Col5_","_Col4_","_Col3_","_Col2_","_Col1_","mailing_tag_no","subject","day","year","month","day_of_week"
"         237","this email is being sent to all students as a reminder of the student health insurance enrollmentchange period which runs for the spring semester this is the only time during the spring semester that students can complete an open enrollment reinstatement apply for dependent coverage apply for permanent exemption from the insurance fee or apply for an extension of your fall coverage extensions are only for students not registering for the spring semester if you are in an exempt status not covered and wish to remain exempt you do not need to reapply for exemption to check exempt status look on your ebill to see if you have been charged the student health insurance fee undergrad fee graduate fee if you have not been charged the fee you are not covered by this plan or do not qualify to be assessed the fee necessary forms and instructions for exemption extension and dependent coverage can be printed off of our web site the deadline is questions email us at insureuiucedu or call","           0","           0","           0","           0","           0","           0","           1","           0","           0","           0","0.0128534359","0.0308207346","0.0091191026","0.0698189247","0.0375368063","0.0046466478"," 0.899566907","0.0101297657","0.0533606688","0.0085363764","20070212143634-019129","spring st ins enrollmentchange period","          13","        2007","Feb","Tuesday"
"         337","dear colleagues the senate constitution article v section states in part that periodically the senate shall provide for a comprehensive review of its size organization structure and operation the sixth senate review commission has prepared a survey to assist us in fulfilling our charge from the senate we request that faculty complete this survey about their perceptions of the senate and its operations and how they might be improved the survey url is you will need your netid the portion of your email address before uiucedu and password to login and participate in this survey for those with more than one email address use your campus alias ovburton instead of one from a departmental or other domain vburtonncsa please complete and submit the survey by monday february if you have any questions about the survey please contact me as the senate review commission chair thank you in advance for your participation","           0","           0","           0","           0","           0","           0","           0","           0","           0","           0","0.0127015458","0.1261957849","0.1085898294","0.0240597304","0.0837787256","0.0326840795","0.0211548156","0.0055142542","0.0226913913","0.0646040459","20070209062617-014129","survey of the sixth senate review commission","          10","        2007","Feb","Saturday"
"         437","your current monthly student account ebill is now available online if your student account did not have any activity within the last months billing cycle then you will not have an ebill for this month the university does not mail student account bills to registered students payment of the balance indicated on this ebill is due february the university of illinois is pleased to announce that payment profiles have been added as a new feature in uipay once a profile has been saved you can then simply select the profile from the payment method list when going to make a payment you will be asked to confirm the profile information but there will be no need for you to reenter that detail again each time you wish to make an online payment to access your ebill please logon to the uiintegrate selfservice site at and complete the steps below select account billing information select the uipay link which will connect you to uipay select ebillonline payment which will connect you to uipay select view accounts to view an html version of your ebill select view pdf to print your official billing statement use the attached remittance stub if you wish to mail a check or money order if you are unable to print your bill please visit your campus university student financial services and cashier operations office for assistance payment options include online payments inperson or via mail if you are mailing a payment mailing instructions are on the pdf copy of your e bill for more information about ebills such as providing someone else access to your ebill and to learn how to make an online payment visit the usfsco website your opinions are important in helping usfsco achieve success through service please help us improve the quality of service we provide our students by completing this brief survey to access the survey please go to the following link","           0","           0","           0","           0","           0","           0","           0","           0","           1","           0","0.0252139468","0.0384134385","0.0052983884","0.1129251465","0.0682293839","0.0233169065","0.0460240175","0.0227725397","0.8031944425","0.0443835842","20070205123728-001220","your february student account bill is available","           7","        2007","Feb","Wednesday"
"         537","february to all faculty all academic professionals all civil service staff from university human resources re notice regarding graduatelevel tuition waivers this notice is to remind employees of an important benefit to faculty civil service and academic professional employees who are taking graduate level courses and who are eligible to receive a tuition waiver at the university if you are not receiving a graduate level tuition waiver or do not plan on receiving one this calendar year this notice does not apply to you the university exempts the first of the tuition waiver from taxable income in accordance with internal revenue code section this exemption is based on tuition waivers received by an employee in a calendar year university payroll monitors waivers posted to employees student accounts when the value exceeds the exempted amount of the employee is notified of the taxability the notification will be in the form of an email and via the us postal service to the mailing address in banner information regarding applying for an exception to the taxation if applicable will be sent at that time for additional information regarding employee eligibility and restrictions for graduatelevel tuition waivers please see item_idrlink and select your appropriate employee group for contact information regarding tuition waivers please see","           0","           0","           0","           0","           0","           0","           0","           0","           0","           0","0.0235853691","0.0332134843"," 0.013723564","0.0394779412"," 0.170597152","0.0212268808","0.0798830846","0.0117800284","0.0224223352","0.0859086941","20070131145135-026244","notice regarding graduatelevel tuition waivers","           1","        2007","Feb","Thursday"
"         637","student elections for the illinois student senate iss student trustee student organizaton resource fund sorf board and presented referenda questions will be held on march th and th any student wishing to run for a position may download and print an election packet from the student election commission sec website at in accordance with the illinois student senate constitution a referendum may be placed on the ballot for a general student body vote by receiving a twothirds vote of the iss and the signed support of of the student body or receiving the signed support of of the student body all referenda questions and signatures shall be submitted to the student election commission for verification further information is available in the election packet all students running for the illinois student senate student trustee or sorf board must attend a mandatory candidate meeting on monday february at in room of chem annex all election packets and referenda materials must be submitted by noon friday february to the illini union main desk room at the illini union if you have any further questions regarding the student elections please contact the executive board of the student election commission sangmee lee sleelawuiucedu or scott bieniek bienieklawuiucedu","           0","           1","           0","           0","           0","           0","           0","           0","           0","           0","-0.048449764","0.7177463055","0.0968252048","0.0203042133","-0.026529776","0.0109665553","0.0134130301","0.0120878098","0.0192026603","-0.092654196","20070131131859-025124","student elections","           2","        2007","Feb","Friday"
"         737","to members of the campus community we try to minimize the number of messages we send to the campus via mass mail but i feel strongly that the following message rises to a level of importance that it is appropriate to share through this system on this thursday february a forum on racism power and privilege at uiuc will be held in foellinger auditorium from to pm i want to thank the students who organized the event and i invite everyone in the campus community to attend there will be an opportunity for members of the audience to offer their thoughts as well as to pose questions to a panel of campus and university officials these are important issues that merit broad discussion and i hope you will set aside time to participate sincerely richard herman chancellor","           0","           0","           0","           0","           0","           0","           0","           0","           0","           0","0.0697475889","0.0669470047","0.1040529839","0.0302746821","0.0352464996","0.0470669466","0.0164748539","0.0361015216","0.0175992319"," 0.055678261","20070130085248-029862","february st forum on racism","          30","        2007","Jan","Tuesday"
"         837","dear student t forms for tax year are now available online for all students who were enrolled at the university of illinois during calendar year this form is supplied to you as required by the irs and provides information you or the person who may claim you as a dependent may need to claim an educational tax credit to view andor print your t log on to select access my record login using your uin by selecting clicking here in the first paragraph enter your uin last name and pin then select login if you dont have or remember your pin a select login after entering your last name b enter your first name then select next c enter your mothers maiden name and your date of birth using format mmddyyyy then select next d the system will assign you a pin note we recommend that you save your pin for future use however if you lose it you need only repeat the above steps and the system will recall your pin provided you enter the same mothers maiden name and date of birth e select proceed f if you still cant login call acs customer service at and request a password reset select view my t tax form if you were enrolled at the university of illinois during calendar year you may need to select to view your t students who did not sign up for electronic delivery will receive their paper t form in the mail paper t forms will be mailed no later than january for questions related to the t form please call acs customer service at thank you university student financial services and cashier operations usfsco","           0","           0","           0","           0","           1","           0","           0","           0","           0","           0","0.0104152382","0.0487180445","0.0076122397","0.0743838378","0.2123622559","0.0139007665","0.0496129155","0.0276101741","0.1559688265","0.0274899376","20070123101557-021847","irs t form now available online","          24","        2007","Jan","Wednesday"
"         937","date january to uiuc faculty from michael andrejasich chair honorary degrees re request for nominations for honorary degrees the senate committee on honorary degrees is pleased to invite nominations for the may honorary degree awards nomination procedures are detailed below you are urged to nominate through your unit department school college etc outstanding candidates for honorary degree awards the committee requests that nominations and supporting materials for the may commencement be submitted by february please note that in order to maintain absolute confidentiality under no circumstances is any potential candidate to be contacted even to obtain lists of references andor vitae please use only non university of illinois persons for references only the president andor chancellor may contact candidates the committee appreciates your help in identifying outstanding individuals whom the university can honor and in so doing honor itself if you have any questions or need additional information please contact the senate office for your convenience a nomination form is at request for nominations for honorary degrees the prime controlling consideration should be distinction the person should have made a distinguished contribution to knowledge and creativity in the relevant field of endeavor and have shown sustained activity of uncommon merit the contributions may be made in a wide range of activities the following list is not exhaustive scholarship in any discipline major breakthroughs in knowledge in fields of scholarly work creative arts in the broad sense of the term literature music architecture engineering et al the development of new frontiers of creativity professions distinguished contributions innovative work of distinction public service outstanding achievement in statesmanship administration legislative activity the judiciary or in non governmental civic activities business industry and labor outstanding innovative activity in the business andor labor community following senate guidelines the committee will consider but not be bound by the degree to which the candidate has had some association with illinois the university or the state while alumni of the university should not be excluded honorary degrees are not a means of recognizing their contributions other awards exist for this purpose current administrators faculty or staff of the university ordinarily are not eligible while emeriti are eligible even if engaged in teaching or research at the university elected officials of the state of illinois and its subordinate units and members of the legislature during their terms of office ordinarily are not eligible senate guidelines emphasize recommendations by departments and other academic units a nomination coming to the committee from a member of the board of trustees an alumnusalumna or friend of the university will be referred to the proper academic unit for support of the faculty for full consideration by the committee the nominator or nominating unit should supply the following information to the committee by february a brief letter of nomination summarizing the candidates qualifications for this honor and certifying the support of the appropriate academic unit a brief curriculum vitae of the nominee including addresses telephone numbers or other means by which the nominee can be reached if the nomination finds substantial initial support in the honorary degrees committee additional information may be requested from the department to develop the case and to provide the senate with the materials it needs for the final decision the names and addresses of at least four professionally distinguished individuals who could be contacted for letters of support or further information about the candidate it is hoped that oral communications among professional colleagues will help assure the confidentiality of the decision process nominations and full dossiers should be marked confidential and sent to the committee on honorary degrees co senate office english building mc","           0","           0","           0","           0","           0","           0","           0","           0","           0","           1","0.0154106498","0.0495074133","0.0908351172","0.0159432276","0.0509812003","0.0268320987","0.0140047687","0.0364077513","0.0230276672","0.1882320304","20070119150904-013331","request for nominations for honorary degrees","          23","        2007","Jan","Tuesday"
"        1037","this email message applies to students who are or have employees of the university of illinois during tax year if you were not an employee during tax year please disregard this message if you have previously consented to retrieve your form w electronically this message provides instructions to access your form if you have not consented yet and wish to have early electronic access you have until the end of day on thursday january to provide consent by following the instructions provided below if you are a foreign national student nonresident alien who is or has been a university employee during tax year you may not receive your tax form electronically your tax form s will be mailed to you as in previous year please refer to the section on process for mailing of forms below instructions to retrieve your form if you have consented to receive form w electronically you can now retrieve your tax form by following the steps below go to nessie at select the compensation tab click on the link w wage and tax statement click on the link view your w log in using your bluestem logon and password enter your personal identification number pin or create one your form w will display on the screen click the continue button enter the last four digits of your social security number in the box and click ok click on the link click here for your w form you may print the form email it to yourself or save your form to a hard drive or disk you may also log off and retrieve it again later following the same instructions instructions to provide consent for electronic access if you have not consented it is not too late consent for the electronic w will remain open through january to provide consent for electronic access follow the steps below go to nessie at select the compensation tab click the link w wage and tax statement click the link w consent form log in using your bluestem logon and password enter your personal identification number pin or create one once you are on the w wage and tax statement consent form page click continue follow the instructions at the bottom of the form to provide consent enter the consent code click on link to retrieve the code this is necessary because it is the same functionality used to retrieve the w electronically enter the email address you want your notification regarding retrieval of your form w to be addressed to reenter your email address click the consent button after submitting this information you will receive an email indicating you have consented to receive your form w electronically when these steps are completed the form can be retrieved using the instructions to retrieve your form process for mailing of forms if you have decided to receive your form w by mail or if you are a nonresident foreign national employee receiving form s your form will be mailed to the mailing address listed on your personal information tab in nessie as of december the printed form w will be mailed starting january if you do not have an active mailing address the form will be sent to your listed homepermanent address note because some email programs split long addresses urls you may not be able to reach the desired pages by clicking on the links provided above try copying all the text between the angel brackets into your browsers address bar there are no spaces in the url if you have additional questions about the w process please contact the university payroll service center at or payinquillinoisedu","           0","           0","           0","           0","           1","           0","           0","           0","           0","           0","0.0290053356","0.0494536092","0.0124069135","0.0494286366","0.7460292542","0.0200308929","0.0789903828","0.0176910223","0.0885452426","-0.015658634","20070116144627-028309","update on form w process for tax year","          17","        2007","Jan","Wednesday"
"        1137","if you have previously consented to retrieve your form w electronically this message provides instructions to access your form if you have not consented yet and wish to have early electronic access you have until the end of day on thursday january to provide your consent by following the instructions provided below if you are a foreign national nonresident alien employee the electronic option is not available for form s for foreign national employees foreign nationals will receive their tax form in the mail as in previous years please refer to the section on process for mailing of forms below instructions to retrieve your form if you have consented to receive form w electronically you can now retrieve your tax form by following the steps below go to nessie at select the compensation tab click on the link w wage and tax statement click on the link view your w log in using your bluestem logon and password enter your personal identification number pin or create one your form w will display on the screen click the continue button enter the last four digits of your social security number in the box and click ok click on the link click here for your w form you may print the form email it to yourself or save your form to a hard drive or disk you may also log off and retrieve it again later following the same instructions instructions to provide consent for electronic access if you have not consented it is not too late consent for the electronic w will remain open through january to provide consent for electronic access follow the steps below go to nessie at select the compensation tab click the link w wage and tax statement click the link w consent form log in using your bluestem logon and password enter your personal identification number pin or create one once you are on the w wage and tax statement consent form page click continue follow the instructions at the bottom of the form to provide consent enter the consent code click on link to retrieve the code this is necessary because it is the same functionality used to retrieve the w electronically enter the email address you want your notification regarding retrieval of your form w to be addressed to reenter your email address click the consent button after submitting this information you will receive an email indicating you have consented to receive your form w electronically when these steps are completed the form can be retrieved using the instructions to retrieve your form process for mailing of forms if you have decided to receive your form w by mail or if you are a nonresident foreign national employee receiving form s your form will be mailed to the mailing address listed on your personal information tab in nessie as of december the printed form w will be mailed starting january if you do not have an active mailing address the form will be sent to your listed homepermanent address note because some email programs split long addresses urls you may not be able to reach the desired pages by clicking on the links provided above try copying all the text between the angel brackets into your browsers address bar there are no spaces in the url if you have additional questions about the w process please contact the university payroll service center at or payinquillinoisedu","           0","           0","           0","           0","           1","           0","           0","           0","           0","           0","0.0282637377","0.0451841655","0.0095628469","0.0413841999","0.7498349079","0.0193969623","0.0672730737","0.0173495193","0.0902262447","-0.021383837","20070116142505-028015","update on form w process for tax year","          17","        2007","Jan","Wednesday"
"        1237","to urbanachampaign faculty from professor kim graber chair senate committee on committees date january re faculty nominations to the athletic board the athletic board serves as an advisory committee to the chancellor and the athletic director on the fiscal and operational aspects of the varsity sports program the board is also responsible for that program as it relates to the academic and educational objectives defined by the senate the committee on committees is seeking nominations of tenure system faculty members to fill two vacancies on the athletic board created by the expiration of the terms of laurence parker and emily watts faculty members serve fouryear terms the following faculty with expiration of terms in parentheses are continuing on the board lawrence debrock bus john erdman aces ann nardulli las christopher span educ tom weissinger libr at the february senate meeting the committee on committees will present a slate of four faculty nominees upon senate approval of the slate the chancellor will appoint two of these nominees we invite you to make nominations faculty may also selfnominate nominations must include a brief paragraph description of the qualifications of the nominee including reference to strengths in service and leadership major teaching and scholarly interests and accomplishments and experiences and interest in the policy and management issues that surround a big ten athletic program thank you for your assistance we look forward to receiving nominations nominations must be sent on or before friday january via email djmorrisuiucedu or campus mail to committee on committees co office of the senate english building mc","           0","           0","           1","           0","           0","           0","           0","           0","           0","           0","0.0046434149","0.0486457484","0.1722998022","0.0158255329","0.0282242285","0.0155818227","0.0026973611","0.0107105504","0.0152534959","0.1039963722","20070115103103-006965","faculty nominations to the athletic board","          16","        2007","Jan","Tuesday"
"        1337","to members of the campus community it was brought to my attention earlier this week that threats of violence against an american indian student and hate speech directed at all american indians were posted on a prochief facebook website created by students at the university of illinois the idea that the debate over this issue could degenerate to personal attacks that threaten the physical safety and wellbeing of members of the campus community is something that all of us should find truly abhorrent the men and women who built the university of illinois at urbanachampaign over the past years have worked hard to create a place where ideas could be explored and discussed in a safe and welcoming environment actions such as those that were recommended on this facebook site really are an attack on each member of our community and that site has now been removed i do not know the motives of the students who posted the threats but i do know that their words are dangerous and racist the threats have been forwarded to the office of student conflict resolution for investigation and action the student code guarantees that members of the campus community should be able to discuss issues and express views but it does not allow speech that threatens to harm other members of the campus community as chancellor i can not and will not tolerate such violent threats the university will take all legal and disciplinary actions available in response to the threatening messages but far less extreme actions and words can traumatize and frighten those targeted as well the right of free speechno matter how thoughtless rude or dumbis a hallmark of the american system yet as future leaders and as citizens of our campus community and later as citizens of a nation and world we must engage in a far deeper dialogue about how we are to agree to disagree vigorous debate is good and it is constitutionally protectedbut debate should be based on ideas not emptyheaded slurs or vicious threats to all members of the campus community i ask that you think seriously about what you can do to help build a campus climate with zero tolerance for racism and hate everyone has a role we should expect nothing less from ourselves i invite each of you to join us at pm february in foellinger auditorium for a forum on creating a more welcoming campus environment together we must find ways to implement our shared values of respect and dignity thank you richard herman chancellor","           0","           0","           0","           0","           0","           0","           0","           0","           0","           0","0.0759683064","0.0322367757","0.0487703516","0.0186192706","0.0333764634","0.0786273037","0.0142883252","0.0348663289","0.0214410619","0.0936887681","20070109162336-018482","violent threats unacceptable","           9","        2007","Jan","Tuesday"
"        1437","a statement from the university of illinois on the global campus initiative a group of university of illinois faculty leaders designated by senates conference along with student leaders and administrators met on monday in urbana to discuss the global campus strategic initiative the meeting was convened by the president the purpose was to ensure a shared governance approach to making the u of i a national leader in the rich mix of inplace and online education that all involved believe will be the future of higher education the group expressed strong consensus and enthusiasm to pursue this mission with energy and commitment the group reviewed the may global campus plan commentaries by the campus faculty senates and an approach called the threeplus plan written by professors terry bodenhorn nick burbules vernon burton faye lesht and others based on candid constructive debate and discussion participants agreed to change the may plan in line with principles articulated in the faculty senates commentaries and the threeplus plan among key changes to be recommended to the board of trustees and faculty senates include designation of the initiative as the global campus partnership reflecting that all global campus programs will have a partnering academic unit from the three u of i campuses agreement also was reached on an academic model with u of i faculty ensuring program quality in addition global campus will be created as an academic unit instead of a limited liability corporation next steps will be a global campus partnership report to the january board of trustees meeting in chicago by president white chet gardner professor bodenhorn as chair of senates conference and student trustee sarah doyle faculty senate chairs will report to their senates on the meeting outcome and the president will work with the chancellors provosts and deans on global campus partnership matters b joseph white president terry bodenhorn chair university senates conference vernon burton chair uiuc senate executive committee chester s gardner special assistant to the president elliot kaufman chair uic senate executive committee pat langley chair uis campus senate","           0","           0","           1","           0","           0","           0","           0","           0","           0","           0"," 0.016046097","0.0375614298","0.2350573048","0.0408706623","0.0245801395","0.0446315096","0.0127912938","0.0352161127","0.0152925204","0.1426346417","20070109104042-014170","global campus partnership","          10","        2007","Jan","Wednesday"
"        1537","to faculty staff and students from chancellor michael aiken the following letter is being printed this week in the daily illini and the newsgazette and i am also sending it by email today to the campus community to the campus community alumni and other illini fans the week of october is homecoming week we were one of the first if not the first universities to celebrate homecoming therefore i want to encourage all members of our community to participate in homecoming activities including attendance at the football game with iowa on saturday home football weekends on the urbanachampaign campus are usually characterized by an atmosphere of spirited competition and friendly rivalry and certainly the vast majority of those who participate in events on football weekends do so in a positive courteous and responsible manner im greatly concerned however by circumstances that developed on our campus and in the campustown area at the time of our last home football game there were unfortunately several incidents before during and after the game in which some illinois fans were much less than courteous to the michigan fans including the booing of the michigan band such behavior is inappropriate and it damages the reputation of the university when a team comes to our campus for an athletic competition the visiting team band and fans are our guests and they should be treated courteously and with respect anything less is inconsistent with the standards of a world class university good natured kidding and ribbing are to be expected but actions such as heckling cursing obscene slogans and spitting upon and throwing objects at the team band and fans from another university are inappropriate all of us want to be supportive of coach turner and our football team and we wish them all the best as the season continues however we dishonor their efforts and their sportsmanship if we indulge in rude and insulting behavior toward our guests during the week of homecoming i encourage the members of our campus community our alumni and other loyal illini fans to participate in the homecoming activities and traditions on our campus i also ask that all illini fans treat our iowa guests with courtesy and respect michael aiken chancellor","           0","           0","           0","           0","           0","           0","           0","           0","           0","           0","0.0450258908","0.0390513484","0.0378108407","0.0129129974","0.0187354273","0.0521626826","0.0121612543","0.0356784334","0.0218922791","0.0818705763","20001010150633-015076","homecoming and fan behavior","          11","        2000","Oct","Wednesday"
"         138","january dear colleagues i am pleased to inform you about the selection of a new vice president and chief financial officer for the university of illinois and to update you on the status of other key university administration positions my recommendation to the board of trustees for the new position of vpcfo is walter k knorr an experienced public finance expert currently serving as comptroller of cook county walter previously served as comptroller and cfo of the city of chicago reporting to mayor richard m daley and thus brings top line experience in managing complicated multibillion dollar public budgets his private sector background includes senior positions at major financial firms wellknown and wellregarded in the public finance sector as an innovator and a straight shooter walter emerged from a national search that fielded candidates and was assisted by the executive search firm russell reynolds associates inc a search consultative committee was chaired by urbana business professor david ikenberry and was comprised of senior faculty and administrators from the three campuses including the chancellors the new vpcfo recommendation will be considered by the board of trustees at its scheduled january meeting in chicago walters start date will be february steve rugg will then transition to his duties as vice president for planning and administration also at the january meeting the board will consider my recommendation of jim weyhenmeyer as interim vice president for technology and economic development as associate vice president jim has spent the last six years of his year u of i career intimately involved in all aspects of the universitywide technology and economic development operations as part of the transition to new leadership in this area i have initiated a review of the universitys accomplishments and future challenges in technology and economic development leading the review will be dean prith banerjee of the college of engineering at the chicago campus and dean avijit ghosh of the college of business at the urbana campus at the conclusion of their work which should last about three months the university will launch a search for a permanent vice president finally i want to report that the internal search for a new vice president for academic affairs is progressing well until the vacancy is filled the academic affairs function will be carried out by me with help from executive assistant vice president larry mann a search advisory committee chaired by urbana professor james anderson is assisting me in this important task sincerely joe white","           0","           0","           0","           0","           0","           0","           0","           0","           0","           1","0.0119969878","0.0429332706"," 0.130023659","0.0441299262","0.0257521641","0.0877301593","0.0126855434","0.0374092271","0.0211632008","0.1740497794","20070109092701-012334","cfo and system leadership announcement","           9","        2007","Jan","Tuesday"
"         238","happy new year i write to add my voice to the vibrant community discussion we have been having about the global campus initiative one of the u of is five strategic priorities those priorities are make urbana americas best public research university make uic one of americas best urban research universities make uis one of americas top five small public liberal arts universities enable the u of i medical center and health science colleges to meet the education research and clinical challenges of the next quarter century make the u of i a national leader in online higher education through the global campus initiative global campus gc is a largescale innovation and deserves special comment gc emerged as a need and opportunity from our universitywide strategic planning process a draft gc plan was completed in may and has been a focus since then of the universitys shared governance process now we are approaching a time of decision on january i am convening a meeting of faculty representatives identified by the senates conference as well as several deans chet gardner and members of the gc planning team our intention is to take as a starting point the draft plan and commentaries on the plan from the faculty senates and challenge ourselves to reach as much consensus as possible about gc design this will enable us to make a unified report to the board of trustees on january and to the campus senates in the weeks after we have spent considerable time and nearly a million dollars doing extensive research and planning to enable our community to make a well informed decision on whether and how to make the u of i a national leader in online education in this letter i want to address the following matters why global campus what are the controversial elements of the plan what are the risks in launching and not launching global campus why global campus the global campus initiative is driven by mission mastery and money in that order mission today percent of americans graduate from high school but only about percent from college this massive education gap is thwarting achievement of individual dreams and impairing americas competitiveness in the global economy the university of illinois mission as a landgrant institution is to bring quality education to large numbers of able and motivated illinois citizens and others we have a moral obligation to capitalize on information and communication technology much of which was developed at the u of i to extend quality education to thousands of people who dont have the personal freedom or life circumstances to spend an extended period of time on one of our three campuses online education is especially important in enabling non traditional students underrepresented minorities placebound individuals and single parents to earn a college education the typical student in online programs is employed and between the ages of and mastery the future of higher education including the residential form will be a rich mix of inperson and online learning many high school students today take online courses college students will expect and should have this option to enable them to complete their degrees in four years or less and to make education compatible with student mobility in my inaugural address i showcased jared perry who continued his uis education online while serving with his illinois national guard unit in iraq this is an option he would not have had as an urbana or uic student and this must change we must rapidly grow the university of illinois mastery of quality online education and increase our capability to offer a large number of such courses at all three campuses global campus is a means of achieving this goal money the university of illinois is in serious need of a major new revenue source that can generate a substantial surplus to help us fund competitive faculty salaries and myriad other needs of which you are aware we cannot count on increased state support for these purposes and raising tuition much beyond the rate our board has been approving could seriously threaten access and affordability success in research grants and contracts will help as will success in our upcoming fundraising campaign but without a major new source of revenue and surplus we are unlikely to be able to achieve our strategic priorities and have the brilliant future which we seek global campus is by far our best new financial prospect pro forma financial statements show an annual gc revenue surplus in five years of more than million as a matter of proportion bear in mind that for the increase in our direct appropriation from the state of illinois the first in five years was million controversial elements of the plan my reading of the commentary on global campus by the various senates suggests that there is a high level of understanding of the vision and purposes of the gc concerns seem to center on three areas the organizational form of gc currently proposed to be a limited liability corporation the role of the faculty both tenure system and supplemental and the consequences for quality future accreditation and degreegranting authority of gc these matters and others will be addressed at the consensusbuilding meeting on january we should be flexible about organization as long as the form selected is fully compatible with success of the enterprise with regard to faculty and quality tenure system faculty will have course design faculty selection and quality assurance responsibility in gc supplemental faculty will do a substantial amount of the direct teaching this is not a new or unfamiliar educational model at u of i with regard to accreditation in the first several years of gc all degree programs will be offered through urbana uic and uis while we must position gc to have the option of seeking separate accreditation and degreegranting authority at some time in the future that decision does not have to be made now campus senates will have the opportunity to weigh in on the matter when it arises and the board of trustees will exercise final authority on whether and when to seek separate accreditation of global campus risks in the thinking of the gc team and in discussion with the board faculty and students three kinds of risk have been identified in the gc initiative reputation risk value of degree risk operational and financial risk if global campus does not achieve high quality in online higher education the university of illinois reputation will be damaged we cannot and will not allow this to happen the tenure system facultys central role in gc is our best means of ensuring quality some students have expressed a concern that an increase in the number of u of i degrees as a result of gc will reduce the value of their degrees i have served at two universities illinois and michigan both of which have three campuses the marketboth applicants and employershas a full understanding of these institutions and their various campuses there is no evidence that multiple campuses serving various student constituencies have a negative effect on the value of degrees offered by these institutions indeed the reputation of the university of illinois and the value of all u of i degrees can be enhanced by the university demonstrating that it is the innovation leader in delivering high quality affordable and accessible higher education there is significant operational and financial risk in launching global campus we will need to invest approximately million an amount we can finance and partially recoup through foundation and donor contributions before we begin to generate surpluses operational risks take the form of competition enrollment and revenue shortfalls cost overruns and other potential problems identified in a risk management analysis prepared by the gc team however there is no riskfree path available to the university of illinois not launching gc means that we will to some degree fail in our mission in mastering online education and in securing the money we need to achieve our strategic priorities we are as i said in my inaugural address at a tipping point in one direction is a slow slide to mediocrity which is unacceptable for the u of i in the other is the opportunity though not a guarantee to create a brilliant future i thank all of you for your hard work on behalf of the university of illinois thank you also for your serious engagement in the global campus matter i am confident that working together we will make the wisest possible decisions sincerely b joseph white","           0","           0","           0","           0","           0","           0","           0","           0","           0","           1"," 0.048442422","0.0413006562","0.0893691204","0.0573100795","0.0744002988","0.0337685065"," 0.040750763","0.0388005085","0.0500969994","0.2399672044","20070105135920-027444","global campus message from president white","           8","        2007","Jan","Monday"
