mailing_tag_no,content,subject,day,year,month,day_of_week
20061025101645-013047,to all uiuc students faculty staff and academic professionals as fall approaches the campus is faced with the annual return of flu season you are aware that we have been preparing for a possible outbreak of avian flu and the purpose of this email is to provide basic personal health and hygiene information intended to help persons reduce the risk of becoming ill the document avian flu and you available at click on avian flu provides helpful hints for selfprotection during the coming flu season we encourage you to share this information with family and friends these suggestions are relevant at all times of the year and especially as it relates to reducing your susceptibility to acquire colds flu and other diseases in the course of normal activity the following links provide information related to proper handwashing techniques likewise dr ben lounsbury has created an excellent video with a humorous twist that addresses proper cough etiquette his video provides information on how the spread of disease can be controlled simply by following common sense personal health techniques related to cough control the video can be viewed at individuals may wish to store in their office personal hygiene supplies such as sanitizing hand gel andor spray sanitizers for keyboards and telephone hand sets and perhaps bottled water bottled water reduces the reliance on the use of drinking fountains individuals are encouraged to make sure they wash their hands before returning to work after using the restroom andor when handling food when in public be alert to potentially infected surfaces such as door handles store counter tops pay telephones public restrooms salad bar surfaces etc reasonable restrictions on activities and the implementation of common sense personal hygiene habits have the potential to significantly reduce the probability of contracting a cold or the flu especially if implemented prior to the start of the flu season flu shots are an excellent way to reduce the risk of contracting the regular type of flu that we experience each winter flu vaccine is available from many different sources in the community please check with your provider about dates and places uiuc students should visit the mckinley website at there is an updated version of the campus incident action plan for infectious disease on the office of campus emergency planning website other recent and future postings will include information on personal hygiene a self instruction powerpoint presentation explaining the issues around avian flu and a list of faqs your continued assistance in preparing for the eventual arrival of the flu season and the possible arrival of a pandemic is greatly appreciated additional information is available on the mckinley health center website if you have questions please direct them to kip mecum at the information shown below kip mecum director of emergency planning division of public safety room public safety building mc w springfield urbana illinois office cell,flu season preparedness,27,2006,Oct,Friday
20061025085215-011942,your current monthly student account ebill is now available online if your student account did not have any activity within the last months billing cycle then you will not have an ebill for this month the university does not mail student account bills to registered students payment of the balance indicated on this ebill is due november the university of illinois is pleased to announce that mastercard has been added as a credit card payment option in uipay in addition the university continues to accept echeck payments and payments made with an american express or discover credit card please remember that a convenience fee will be charged on all credit card transactions beginning this fall university student financial services and cashier operations usfsco will be using the uipay authorized payer functionality as our standard ferpa release process students who grant an individual authorized payer access to their student account will also be granting usfsco permission to share protected account information with that individual for more information on how this can impact you please visit the usfsco website to access your ebill please logon to the uiintegrate selfservice site at and complete the steps below select account billing information select the uipay link which will connect you to uipay select ebillonline payment which will connect you to uipay select view accounts to view an html version of your ebill select view pdf to print your official billing statement use the attached remittance stub if you wish to mail a check or money order if you are unable to print your bill please visit your campus university student financial services and cashier operations office for assistance payment options include online payments inperson or via mail if you are mailing a payment mailing instructions are on the pdf copy of your e bill for more information about ebills such as providing someone else access to your ebill and to learn how to make an online payment visit the usfsco website,your november student account ebill is available,04,2006,Nov,Saturday
20061019093903-020800,dear campus community members i would like to share with you the inaugural edition of an electronic newsletter chancellor richard herman is sending to alumni and friends of the urbana campus it can be found at it is designed to help readers stay on top of the latest news from the campus and our efforts to become second to none among public research institutions we thought you might enjoy reading it please feel free to forward it to anyone you think might find it of interest to subscribe go to i also invite you to visit ui now which can be found on the upper left section of the campus home page at ui now is an excellent source for the latest news from the campus if you have any questions on either of these initiatives contact me at or rkaleruiucedu best wishes robin kaler associate chancellor public affairs,chancellors enewsletter,19,2006,Oct,Thursday
20061013164427-024559,see your soldierus military personnel in iraq ncsa and ui extension are partnering to host the see your soldier event connecting uiuc faculty staff and students with their family members in iraq via livevideoconferencing ncsa and ui extension are scheduling sessions for families who have someone in the army marines air force navy guard unit or coast guard deployed to iraq and based at one of the following campscamp tajicooke or camp al asad the minute scheduled sessions are private and free and will be held all day on december and cst at the ncsa building ui extension sites around illinois and the ncsatrecc facility in west chicago at the dupage county airport we invite military family members to share in these videoconferences prereservation is required by pm on friday november for more information and to register go to,see your soldierus military personnel in iraq,14,2006,Oct,Saturday
20061013142831-019439,the division of public safety at urbanachampaign works hard to provide a safe and secure environment for our students faculty and staff unfortunately crime does occur and i write today to keep you informed of a number of incidents that have happened in the campus district since the start of this academic year several people have been robbed some at gunpoint in the campus district which is bounded by university avenue windsor road the railroad tracks along neil street and race street these crimes of have taken place between pm am and the suspects have used a number of tactics to approach their victims these tactics have included catching the victim by surprise and approaching individuals and asking for cigarettes university of illinois police are working closely with city police departments to catch the criminals these robberies are known as crimes of opportunity because the criminals watch for people who they consider easier to victimize that means you can take steps to reduce your chances of becoming a target first pay close attention to your surroundings do not place yourself in a position where you are unable to detect individuals who may be approaching you always walk with a friend or join a group better yet use the services of either saferides or safewalks if you feel something is suspicious call our local emergency number from your cell phone or from campus phones if you have information about the perpetrators call crimestoppers at tips or the university police department at we will post information on the recent robberies on our website at our goal is for you to be safe but we need you to always be aware of your surroundings and to let us know if you see any suspicious activity if you would like to talk to an officer about additional safety tips please call us at thank you chief krystal fitzpatrick interim executive director division of public safety,public safety bulletin,13,2006,Oct,Friday
20061011135647-012584,to all faculty from professor vernon burton chair senate executive committee date october re town hall meeting on the global campus initiative senate executive committee sec would like to remind everyone about the town hall meeting on the global campus initiative that will be held on monday october from am in the beckman auditorium room beckman institute i will serve as moderator for this event speakers will include president joseph white and special assistant to the president chet gardner as you probably know a global campus task force gctf has been charged by the sec to help develop a senate response to the global campus initiative the gctf has prepared a few key questions to facilitate discussion at the town hall meeting these questions are available at a list of frequently asked questions faqs is also available at this site as well as other documents and correspondence related to the global campus plan please keep october from to am open on your calendars thank you we look forward to seeing you there,october town hall meeting global campus,12,2006,Oct,Thursday
20061009141609-005585,to faculty staff and students who conduct research from charles f zukoski vice chancellor for research for compliance purposes federal and state sponsors of research require that all faculty staff and students engaged in sponsored research be informed regularly about campus policies on research integrity the universitywide procedures for addressing particular instances of unethical conduct in research and publication are stated in the pamphlet policy and procedures on academic integrity in research and publication this document is available on the web at under this policy all members of the university community are expected to observe high standards of academic integrity and ethical behavior in research and publication any practice or conduct by a member of the university community that seriously deviates from those ethical standards for proposing conducting and publishing research that are commonly accepted within the professional community constitutes academic misconduct in violation of university policy academic misconduct includes but is not limited to a fabrication or falsification of data including intentionally misleading selective or deliberately false reporting of credentials or other academically related information b unacknowledged appropriation of the work of others including plagiarism the abuse of confidentiality with respect to unpublished materials or misappropriation of physical materials c evasion of or intentional failure after notice by the university or federal state or another appropriate agency to comply with research regulations or requirements including but not limited to those applying to human subjects laboratory animals new drugs radioactive materials genetically altered organisms and to safety and d other conduct which seriously deviates from accepted ethical standards in scholarship differences of interpretation or judgment or honest error do not constitute academic misconduct a student or faculty member who believes that academic misconduct has occurred has several options for pursuing the matter informally most such problems can and should be resolved without resort to formal procedures through consultation with an adviser department or unit head or the campus research standards officer howard guenther associate vice chancellor for research the official campus statement on responsible professional conduct guidelines for teaching research and service is printed in the academic staff handbook available on the web at the guidelines are also printed in the handbook for graduate students and advisors available on the web at if you have questions about these policies please contact howard guenther at or rsofficeruiucedu,fall message on research integrity policies,10,2006,Oct,Tuesday
20061004170447-000391,on friday october th several campus area streets and intersections will be closed between pm and pm for the homecoming parade please note that mtd buses will be running between pm and pm however routes through the parade area will be modified and delays may occur impacted streets and intersections are listed below please visit the champaignurbana website at and click on ui homecoming parade reroutes or select a specific route for an update parking lot e next to the main library will not be accessible between pm and pm no entrance to or exit from the facility will be allowed staging for the parade will take place around the stock pavilion on pennsylvania avenue while pennsylvania avenue will be open to motorists expect delays at pm all streets and intersections will reopen and buses will return to regular routes street closures th street from peabody drive to armory avenue armory avenue from th street to wright street wright street from armory avenue to green street green street from wright street to mathews avenue mathews avenue from green street to nevada street intersection closures th street laredotaft drive th street gregory drive th street armory avenue armory avenue wright street wright street chalmers street wright street daniel street wright street john street wright street green street green street mathews avenue mathews avenue oregon street mathews avenue nevada street thank you,homecoming traffic bus reroutes,05,2006,Oct,Thursday
20061004113500-026270,to all faculty from professor vernon burton chair senate executive committee date october re town hall meeting on the global campus initiative senate executive committee sec is pleased to announce a town hall meeting on the global campus initiative that will be held on monday october from am in the beckman auditorium room beckman institute speakers will include president joseph white and special assistant to the president chester gardner a global campus task force has been charged by the sec to help develop a senate response to the global campus initiative a few key questions prepared by the task force to facilitate discussion at the town hall meeting will be distributed to the campus shortly this meeting will also be an opportunity to introduce germane issues important to you as a uiuc faculty member please keep october from to am open on your calendars refreshments will be available before and during the meeting please visit for documents and correspondence related to the global campus plan thank you we look forward to seeing you on october,october town hall meeting global campus,05,2006,Oct,Thursday
20060928150935-011207,your current monthly student account ebill is now available online if your student account did not have any activity within the last months billing cycle then you will not have an ebill for this month the university does not mail student account bills to registered students payment of the balance indicated on this ebill is due october the university of illinois is pleased to announce that mastercard has been added as a credit card payment option in uipay in addition the university continues to accept echeck payments and payments made with an american express or discover credit card please remember that a convenience fee will be charged on all credit card transactions beginning this fall university student financial services and cashier operations usfsco will be using the uipay authorized payer functionality as our standard ferpa release process students who grant an individual authorized payer access to their student account will also be granting usfsco permission to share protected account information with that individual for more information on how this can impact you please visit the usfsco website to access your ebill please logon to the uiintegrate selfservice site at and complete the steps below select account billing information select the uipay link which will connect you to uipay select ebillonline payment which will connect you to uipay select view accounts to view an html version of your ebill select view pdf to print your official billing statement use the attached remittance stub if you wish to mail a check or money order if you are unable to print your bill please visit your campus university student financial services and cashier operations office for assistance payment options include online payments inperson or via mail if you are mailing a payment mailing instructions are on the pdf copy of your e bill for more information about ebills such as providing someone else access to your ebill and to learn how to make an online payment visit the usfsco website,your october student account ebill is available,06,2006,Oct,Friday
20060927162338-023962,entrepreneurship at illinois the academy for entrepreneurial leadership is the sponsor of a competitive fellows programthe faculty fellows in entrepreneurship the program is a key initiative in the academys objective of broadening the understanding appreciation and inclusion of entrepreneurship in all disciplines in this context it is based upon a comprehensive definition of entrepreneurship that embraces the social intellectual and economic value created through the application of entrepreneurial principles we view entrepreneurship as a process of opportunity recognition and resource acquisition that leads to the creation of something new this could be the creation of a new business new approaches to social problems or development of career management strategies in the arts purpose the faculty fellows in entrepreneurship program is designed to stimulate and support the development and teaching of entrepreneurship courses in disciplines across the curriculum at the university of illinois the purpose is to increase the number and scope of courses and experiences in entrepreneurship and to stimulate and nurture the entrepreneurial spirit in all students without regard to academic major faculty candidates have the option to propose design of material emphasizing entrepreneurship to be integrated into a currently taught course or to propose a new course that teaches entrepreneurial concepts candidates are also welcome to propose research components that will lead to curriculum enhancements rfp the complete request for proposals is available at further questions may be addressed to tony mendes executive director academy for entrepreneurial leadership amendesuiucedu or,rfpfaculty fellows in entrepreneurship,28,2006,Sep,Thursday
20060921142721-028729,to all instructional staff from abbas aminmansour chair senate committee on educational policy re midsemester grade reports for freshman students dear colleagues our campus has a long standing policy of sending midsemester grade reports to freshman students however the implementation of this policy was placed on hold for a couple of years to allow modification of the banner system to accommodate this need we have been informed that we can now proceed with implementation of this policy again midterm grades are critical in helping freshman students gauge their transition to the rigors of collegelevel coursework and helping academic advisors identify struggling students in need of support on behalf of the uiuc senate committee on educational policy i ask you to please comply with this requirement in a timely manner you will receive further details about the mechanics and timing of midterm grade reports from your college and the office of admissions and records soon please note that maintaining confidentiality of student records is mandated by federal law family educational rights and privacy act of please visit for more information on ferpa thank you for your cooperation and have a wonderful day,midsemester grade reports for freshman students,22,2006,Sep,Friday
20060919140539-016144,ui walk toward wellnessbuilding communities through walking and wellness the ui walk toward wellnessbuilding communities through walking and wellness has been designated as an approved event for staff employees employees may be released from work to attend the event for up to one half hour without loss of pay departmental operations permitting and with appropriate supervisory approval the approved time may be combined with the lunch break if requested by the employee register today to participate the entire university community is welcome students faculty staff spouses and children this event will begin at the u of i quad noon friday september th the first registered participants will receive a free pedometer a t shirt wellnessrelated giveaways and useful information to assist the community in continuing their efforts to be well on campus throughout the year the walk will kick off with brief comments from provost katehi to encourage wellness in the university community the sound of the altgeld chimes will signal the start of the walk route and take you through about steps through our scenic campus please join us in celebrating our nd annual walk toward wellness building communities through walking wellness and assisting in creating a culture of wellness through building communities and walking two ways to register preregister online go to the event website and submit your registration online register day of walk bring your registration form to the registration table located on anniversary plaza at the quad anytime after am the day of the walk,approved eventui walk toward wellness,20,2006,Sep,Wednesday
20060918163631-023386,students federal legislation requires that the university inform all students of voter registration procedures and deadlines please be aware that you must register to vote by october if you wish to vote in the general election on november if you are already registered in our home county and wish to remain a voter in that county you will need to arrange for an absentee ballot your county clerk can provide guidelines for voting absentee however if you are not currently registered and would like to register as a voter in champaign county or if you would like to change your address in order to vote in champaign county the following services are available to you register by using the convenient voter registration kiosks provided by the office of the champaign county clerk kiosks are located at the southeast corner of the illini union and the lower level of the undergraduate library register by downloading the form at then mail or deliver your completed form directly to the office of the champaign county clerk e washington urbana il register in person at the office of the champaign county clerk located at e washington urbana il if your address has changed from the last time you voted you will need to change your address by october th so you can vote on november even if you are in a new dorm room or apartment in the same building your current address must be correct information on updating your address can be found at finally if you are currently registered in champaign county and your address is correct and you would like to vote absentee instead of on the general election day of november please check the dates by which you need to vote as they are quickly approaching information on absentee voting in champaign county can be located at for more information about registering to vote in champaign county go to,voter registration,20,2006,Sep,Wednesday
20060912154402-024302,dear colleagues yesterday i was privileged to speak at the annual meeting of the urbana faculty the focus of my remarks was on the global campus initiative the majority of the faculty questions concerned details about this topic my remarks are online html as always your input and comments are welcome cordially b joseph white,remarks to faculty senate,13,2006,Sep,Wednesday
20060911140145-004516,this email is being sent to all students as a reminder of the student health insurance enrollmentchange period which runs for the fall semester this is the only time during the fall semester that students can complete an open enrollment reinstatement apply for dependent coverage apply for permanent exemption from the insurance fee or apply for an extension of your summer coverage this is for students not registering for the fall semester only if you are in an exempt status not covered and wish to remain exempt you do not need to reapply to check exempt status look on your ebill to see if you have been charged the student health insurance fee undergrad fee graduate fee if you have not been charged the fee you are not covered by this plan or do not qualify to be assessed the fee necessary forms and instructions for exemption extension and dependent coverage can be printed off of our web site the deadline is questions email us at insureuiucedu or call,fall std ins enrollmentchange period,14,2006,Sep,Thursday
20060911121046-003108,creating and maintaining a safe community is the responsibility of everyone members of the university of illinois police department take pride in our proactive communitybased policing style engaging all students faculty staff and visitors to take an active role in this important issue in compliance with the crime awareness and campus security act of known as the clery act the university of illinois at urbanachampaign provides the alcohol and other drugs and campus safety brochures to help you make informed decisions in managing your health and safety the campus safety brochure includes an overview of the universitys security resources policies and procedures as well as crime statistics for campus property and adjacent areas the alcohol and other drugs brochure defines prohibited behavior and identifies criminal and university consequences for such violations included in these brochures is information about educational and counseling resources the documents may be found at the following web address http it is my hope that you will read these documents carefully and use the information to help foster a safer environment for you and for others within our community a hard copy of these documents also may be obtained by contacting creative services public affairs s wright st suite champaign or the office of the dean of students e john st suite champaign,campus safety,19,2006,Sep,Tuesday
20060907132356-019826,date september to all faculty and academic professionals from richard herman chancellor re request for proposals from civic commitment task force early in i appointed the chancellors task force on civic commitment in the st century to help create a sharpened and sustained campus emphasis on advancing the public good i asked the group to begin developing a campuswide scholarly agenda that would explore how we as a university will help students and society meet the challenges of modern citizenship to share more about this evolving initiative professor jim wescoat task force chair will be the featured speaker at the know your university program presented by the university ymca on october as part of its broader set of initiatives the task force has established an opportunity for faculty and staff to participate in the strengthening of civic commitment on our campus i have committed the resources to fund a number of grants of up to each to help the task force explore the many dimensions of civic engagement on our campus and to create new and meaningful educational opportunities for our students details of the request for proposals can be found at the link below please consider submitting a proposal for new or restructured courses programs or other civicrelated intellectual exploration it is my expectation that the best of your ideas eventually will be woven into the fabric of the campus and become synonymous with the excellence of a university of illinois education,request for proposalscivic commitment task force,08,2006,Sep,Friday
20060829094752-028697,university of illinois at urbanachampaign office of the senate english building south wright street urbana il a gentle reminder august dear colleague the bylaws of the senate part a state the senate shall call an annual meeting of the faculty of the campus to hear reports from and to question the senate executive committee and the administration this year the annual faculty meeting be on monday september beginning at pm yes pm on the rd floor of the levis faculty center w illinois st urbana you can preregister at until september onsite registration will also be available at the meeting this year president joseph white and chancellor richard herman will deliver remarks after which there will be an open discussion session during which your questions and comments will be welcome the speakers will give you their sense of where we stand what we are up against and what is to be done and they will be interested in hearing from you both on the matters they mention and on others the annual meeting of the faculty serves as a forum for issues affecting all of us such as shared governance the university and campus strategic plans rehiring of retirees and the global campus initiative to which both faculty and administrators contribute we hope that you will join us at the meeting this year after its conclusion there will be a reception on the rd floor of the levis center sponsored by the chancellor at which discussion can continue informally we look forward to seeing you at this meeting cordially vernon burton chair senate executive committee nicholas burbules vicechair senate executive committee vbnb rcd,september annual meeting of the faculty,30,2006,Aug,Wednesday
20060828101330-010473,your current monthly student account ebill is now available online if your student account did not have any activity within the last months billing cycle then you will not have an ebill for this month the university does not mail student account bills to registered students payment of the balance indicated on this ebill is due september the university of illinois is pleased to announce that mastercard has been added as a credit card payment option in uipay in addition the university continues to accept echeck payments and payments made with an american express or discover credit card please remember that a convenience fee will be charged on all credit card transactions beginning this fall university student financial services and cashier operations usfsco will be using the uipay authorized payer functionality as our standard ferpa release process students who grant an individual authorized payer access to their student account will also be granting usfsco permission to share protected account information with that individual for more information on how this can impact you please visit the usfsco website to access your ebill please logon to the uiintegrate selfservice site at and complete the steps below select account billing information select the uipay link which will connect you to uipay select ebillonline payment which will connect you to uipay select view accounts to view an html version of your ebill select view pdf to print your official billing statement use the attached remittance stub if you wish to mail a check or money order if you are unable to print your bill please visit your campus university student financial services and cashier operations office for assistance payment options include online payments inperson or via mail if you are mailing a payment mailing instructions are on the pdf copy of your e bill for more information about ebills such as providing someone else access to your ebill and to learn how to make an online payment visit the usfsco website,your september student account ebill is available,07,2006,Sep,Thursday
20060823164038-008782,for your information the following email was sent to all undergraduate and graduate students date august to undergraduate and graduate students from richard herman chancellor renee romano vice chancellor for student affairs re respect and civility within the campus community as the new academic year begins we remind you that it is each of our responsibility to treat others with civility the campus community is a remarkable array of ideas cultures and experiences in your time at illinois you will learn from these ideas and experiences but in the process may encounter people who have views that are different from yours the university values this diversity and works to create a welcoming atmospherewhere ideas are discussed and debated in respectful ways unfortunately some people choose to treat others with disrespect intolerance and even hate speech and expression are our rights and the student code guarantees that members of the campus community are able to discuss issues and express views as long as they are not in violation of law and do not disrupt the operation of the university or interfere with the rights of others this is the foundation of a world class academic community such as ours when viewpoints are debated openly and civilly truth will eventually emerge we are confident that we as individuals and as a university will always be made wiser and stronger by debate your educational experience at illinois will be much richer because of the many and varied viewpoints you will encounter in your time here we encourage you to reach out to classmates and others who might introduce you to new ideas and experiences and with whom you might share your own ideas we wish you a successful and rewarding academic year,respect and civility within the campus community,24,2006,Aug,Thursday
20060823163713-008757,date august to undergraduate and graduate students from richard herman chancellor renee romano vice chancellor for student affairs re respect and civility within the campus community as the new academic year begins we remind you that it is each of our responsibility to treat others with civility the campus community is a remarkable array of ideas cultures and experiences in your time at illinois you will learn from these ideas and experiences but in the process may encounter people who have views that are different from yours the university values this diversity and works to create a welcoming atmospherewhere ideas are discussed and debated in respectful ways unfortunately some people choose to treat others with disrespect intolerance and even hate speech and expression are our rights and the student code guarantees that members of the campus community are able to discuss issues and express views as long as they are not in violation of law and do not disrupt the operation of the university or interfere with the rights of others this is the foundation of a world class academic community such as ours when viewpoints are debated openly and civilly truth will eventually emerge we are confident that we as individuals and as a university will always be made wiser and stronger by debate your educational experience at illinois will be much richer because of the many and varied viewpoints you will encounter in your time here we encourage you to reach out to classmates and others who might introduce you to new ideas and experiences and with whom you might share your own ideas we wish you a successful and rewarding academic year,respect and civility within the campus community,24,2006,Aug,Thursday
20060810140150-007299,this note is just a reminder that if you are scheduled to teach in an integrated teaching system its classroom this fall and want to make use of the available audiovisual equipment please access the cites classroom technologies website complete the form training and code request if you would like to schedule a time for a training session or to receive the access codes if you are teaching in a language video cabinet classroom please email us at classtechuiucedu and we will send you the padlock combination to find out what equipment is available in your classroom click on the classrooms link on our website all the campusmanaged audiovisual equipped classrooms are listed along with more detailed information thank you brian mcnurlen senior coordinator of classroom support and training cites classroom technologies,code and training requests for av classrooms,17,2006,Aug,Thursday
20060802103040-028376,campus faculty staff and students the high energy demands of summer are upon us and your assistance is being requested in order to conserve where possible this includes all the typical small items that are easily within everyones control such as turning off the lights whenever the room is unoccupied or when natural daylight is sufficient if items such as printers monitors copiers and office equipment can also be turned off when not in use without effecting productivity it will not only help reduce the electrical demand directly but may reduce the air conditioning load within the space also where possible turn thermostats up degrees each of us taking small steps can make a big difference thank you for your consideration in the manner,temperature extremes energy conservation,03,2006,Aug,Thursday
20060801142351-012320,august dear colleague the bylaws of the senate part a state the senate shall call an annual meeting of the faculty of the campus to hear reports from and to question the senate executive committee and the administration this year the annual faculty meeting will take place on monday september beginning at pm on the rd floor of the levis faculty center w illinois st urbana you will have a rather unique opportunity not only to hear from two key university and campus administrators but also to talk with them both in a discussion period during the meeting itself and informally afterward at the meeting this year president joseph white and chancellor richard herman will deliver remarks after which there will be an open discussion session during which your questions and comments will be welcome the speakers will give you their sense of where we stand what we are up against and what is to be done and they will be interested in hearing from you both on the matters they mention and on others the annual meeting of the faculty can and should serve as a forum for issues affecting all of us to which both administrators and faculty contribute we hope that you will join us at the meeting this year after its conclusion there will be a reception on the rd floor of the levis center sponsored by the chancellor at which discussion can continue informally we look forward to seeing you at this meeting cordially vernon burton chair senate executive committee nicholas burbules vicechair senate executive committee,annual meeting of the faculty september,02,2006,Aug,Wednesday
20060731084820-019196,your current monthly student account ebill is now available online if your student account did not have any activity within the last months billing cycle then you will not have an ebill for this month the university does not mail student account bills to registered students payment of the balance indicated on this ebill is due august to access your ebill please logon to the uiintegrate selfservice site at and complete the steps below select account billing information select the uipay link which will connect you to uipay select ebillonline payment which will connect you to uipay select view accounts to view an html version of your ebill select view pdf to print your official billing statement use the attached remittance stub if you wish to mail a check or money order if you are unable to print your bill please visit your campus university student financial services and cashier operations office for assistance payment options include online payments inperson or via mail if you are mailing a payment mailing instructions are on the pdf copy of your e bill for more information about ebills such as providing someone else access to your ebill and to learn how to make an online payment please go to,your august student account ebill is available,10,2006,Aug,Thursday
20060724111847-008661,faculty and staff are encouraged to update the information taken from payroll records that is used to create their listing in the printed version of the universitys telephone book the studentstaff directory a web page explaining the details of the process is available at a link to the employee information form on the nessie web site allows changes to campus and home mailing addresses telephone numbers and email addresses a university netid and password and a fourdigit personal identification number are required those without computer access may use any public computer site on campus or computers located at the personnel services office east gregory drive and the academic human resources office south wright suite changes must be made by september in order for the new information to appear in the studentstaff directory for more information contact creative services at or opmuiucedu,faculty staff may update studentstaff directory,27,2006,Jul,Thursday
20060713163008-006017,monthly paid employees who are enrolled in direct deposit may experience delays in the postings of payroll transactions to their bank accounts on friday july the posting delays may occur due to a problem in the initial setup of services when the university changed payroll disbursement banks from jp morgan to mellon bank on july the biweekly payroll transactions on july were also impacted based on the biweekly posting delays on july some employees experienced posting delays ranging from one to ten hours all monthly employees are expected to have their pay deposited to their accounts on july as scheduled however due to these posting delays some employees may not be able to access their funds through atm or point of sale early in the day the length of delay will be determined by the timing of the transaction delivery to the employees bank or credit union and by how quickly they post the transaction if you have any questions please contact payroll customer service at or or payinquillinoisedu we apologize for any inconvenience this may cause laurie pitner executive director university payroll,delay in posting transactions on july,14,2006,Jul,Friday
20060630095333-024815,your current monthly student account ebill is now available online if your student account did not have any activity within the last months billing cycle then you will not have an ebill for this month the university does not mail student account bills to registered students payment of the balance indicated on this ebill is due july to access your ebill please logon to the uiintegrate selfservice site at and complete the steps below select account billing information select the uipay link which will connect you to uipay select ebillonline payment which will connect you to uipay select view accounts to view an html version of your ebill select view pdf to print your official billing statement use the attached remittance stub if you wish to mail a check or money order if you are unable to print your bill please visit your campus university student financial services and cashier operations office for assistance payment options include online payments inperson or via mail if you are mailing a payment mailing instructions are on the pdf copy of your e bill for more information about ebills such as providing someone else access to your ebill and to learn how to make an online payment please go to,your july student account ebill is available,07,2006,Jul,Friday
20060628145908-019026,june lets all be active in making the campus more safe as we move into summer we want to remind everyone of the importance of personal safety on campus recently there have been three assaults on or near the campus area persons have been arrested and charged with each of these crimes but we all need to be vigilant and participate in helping to assure a safe environment for everyone please review a few important safety tips to help us reach that goal use the mtd scheduled bus service walk in an alert and confident manner actively pay attention to your surroundings never walk alone after dark use welllighted paths advise the division of public safety or office of the dean of students of any areas of the campus where improved lighting is needed or lights are malfunctioning if you observe any suspicious activitypeople call from a campus phone or from a residential or cell phone university police provide walking bike and mobile patrols of our campus community hours a day they are well trained and prepared to assist you with any type of emergency that may arise make a note of the locations of the emergency phones around the campus and use them to contact police if your safety is in jeopardy or you need emergency assistance if you ever become the victim of any crime please contact the police immediately you can check the division or public safety website at to learn of any special security alerts or issues that may be of concern do not leave your room or apartment unlocked even to go next door to visit a friend remember that the more alcohol you drink the easier target you may be for criminals share safety tips and contents of this alert with friends,safety alert,29,2006,Jun,Thursday
