date,mailing_tag_no,header,content,subject
Thu Dec 11 2008,20081209171840-003535,"      To: All Faculty & All Academic Professionals & All Civil Service Staff
           <everybody@illinois.edu> 
    From: ""Office of Business and Financial Services"" <obfs@uillinois.edu>

Reply-To: obfs@uillinois.edu
 Subject: MASSMAIL - Form W-2 Process for Tax Year 2008","To help you prepare for the annual processing of Year-End Statement of 
Wages (IRS Form W-2), this message gives you important information about:

1.	Electronic process for Form W-2 
2.	Consent process for electronic access
3.	Address requirement for mailing of forms
4.	Where to find additional information

=============================================
1. ELECTRONIC PROCESS FOR FORM W-2
=============================================

Again this year the University is pleased to offer the option of 
accessing your Form W-2 electronically. Last year over 24,000 employees 
chose to receive their W-2 electronically. The consent process for 
calendar year 2008 is open through January 18, 2009.

If You Previously Consented:
You do not need to provide consent again this year to retrieve your 2008 
Form W-2 electronically if you previously consented. You will receive a 
notification from University Payroll during the second week of January, 
indicating that your Form W-2 is available online and giving you 
instructions on how to access it.

If You Are a Foreign National (Non-Resident Alien) Employee:
The electronic option is NOT available for Form 1042-S for Foreign 
National employees. Foreign Nationals will receive their tax form in the 
mail as in previous years. Please note an important requirement below in 
section 3 (Address Requirement for Mailing of Forms).

If You Wish to Receive Your W-2 Electronically:
If you have not previously agreed to have your information sent 
electronically, you can provide consent at any time through January 18, 
2009.  See section 2 (Consent Process for Electronic Access) below for 
details.

If you DO NOT consent to receive your W-2 electronically by January 18, 
2009, you will receive a printed Form W-2 by regular mail.

Benefits of accessing your Form W-2 online include:
*You will have access to your Form W-2 at least two weeks earlier than 
the distribution of mailed copies.
*Your Form W-2 is always available to you for secure, convenient and 
timely access.
*Because you are retrieving your Form W-2 electronically from a secured 
Web site, you need not worry that the form will be lost in the mail or 
stolen from your mailbox and used for identity theft.
*Duplicates are just a few clicks away, even as late as April 14 or 15. 

=============================================
2. CONSENT PROCESS FOR ELECTRONIC ACCESS
=============================================

If you wish to receive your Form W-2 electronically, you must provide 
consent using the NESSIE application through January 18, 2009, by 
following the steps below:
1.Go to NESSIE at  
2.Select the ""Compensation"" tab. 
3.Click the link ""W-2 Wage and Tax Statement."" 
4.Click the link ""W-2 Consent form."" 
5.Log in using your NetID and password or Enterprise ID and Password. 
6.Enter your Personal Identification Number (PIN) or create one. 
7.Once you are on the W-2 Wage and Tax Statement Consent Form page, 
click ""Continue.""
8.Follow the instructions at the bottom of the form to provide 
consent: 
(1)Enter the consent code (click on link to retrieve the code. This 
is necessary since it mimics the functionality used to retrieve the W-2 
electronically.) 
(2)Enter the e-mail address you want your notification regarding 
retrieval of your Form W-2 to be addressed to. This does not need to be 
your University e-mail.
(3)Re-enter your e-mail address. 
9.Click the ""Consent"" button.

After you submit this information, you will receive an e-mail from the 
University of Illinois indicating you have consented to receive your W-2 
electronically. 

If you have consented to receive your W-2 electronically, you will 
receive a notification from University Payroll during the second week of 
January, indicating that your W-2 is available online and giving you 
instructions on how to access it.  

If you DO NOT follow the steps above and consent to receive your Form W-2 
electronically by January 18, 2009, you will receive a printed Form W-2 
by regular mail.

=============================================
3. ADDRESS REQUIREMENT FOR MAILING OF FORMS 
=============================================

The University of Illinois contracts the services of JAT Software for the 
annual mailing of Form W-2 and Form 1042-S (for Foreign Nationals).
Form W-2 and Form 1042-S will be mailed to the ""mailing address"" listed 
on the employee's Personal Information tab in NESSIE as of December 31, 
2008. If you do not have an active mailing address, the form will be sent 
to your listed home/permanent address. 

For Form W-2 and Form 1042-S mailing purposes, you can change your 
mailing address in NESSIE until December 31, 2008 (see section 4, 
Additional Information to find address change instructions).

=============================================
4. ADDITIONAL INFORMATION 
=============================================

Additional information, including the Form W-2 and Form 1042-S reissue 
process, a list of frequently asked questions, and how to change your 
address in NESSIE can be found on the University Payroll and Earnings Web 
site at the following links:

Reissue Process and FAQs (via the Tax Information section) 


Change of Address Instructions (via the Address Change section)


You can also access this information through the OBFS Home Page at: 
. Click Payroll and Earnings on the left panel, 
and then click on the links on the left (Address Change, for example) or 
on other specific topics under the Tax Information link, including FAQs 
and Reissued W-2s.

NOTE: Because some e-mail programs split long addresses (URLs), you may 
not be able to reach the desired pages by clicking on the links above.  
Try copying all the text between the parentheses into your browser's 
address bar.  There should be no spaces in the URL.

If you have other questions about the Form W-2 or Form 1042-S process, 
please contact the University Payroll Service Center at 866-476-3586, 217-
265-6363 or payinq@uillinois.edu. 

Laurie Pitner
Executive Director, University Payroll


",Form W-2 Process for Tax Year 2008
Wed Nov 12 2008,20081111135506-003590,"      To: All Faculty & All Academic Professionals & All Civil Service Staff
           <everybody@illinois.edu> 
    From: ""Chancellor Richard Herman"" <chancellor@illinois.edu>

Reply-To: chancellor@illinois.edu
 Subject: MASSMAIL - Campus Charitable Fund Drive","Dear campus community,

As we reach the end of our 2008 Campus Charitable Fund Drive (CCFD), I 
want to take this opportunity to thank everyone who has generously 
contributed. Your gifts will have a real and lasting impact on our 
community. 

I also want to urge those of you who have not yet made your pledge to 
please give strong consideration to contributing to CCFD. You may contact 
your unit leader for a pledge form or make an online pledge at 
www.ccfd.illinois.edu

The University is not an island that is isolated from the impact of our 
current national recession. And because we are not an island, we must 
also realize that the surrounding community we live in and call home also 
feels the painful pinch of layoffs, hiring freezes, and decreased 
revenues. Statistics aside, this is about real hardship. This is about 
real people and we know many people who are struggling to make ends meet. 
Let us, the fortunate ones, not turn away from our obligations in our own 
neighborhoods. Let us not look back with regret and think, I could have 
done more. Remember, every gift does matter.

Very truly yours,

Richard Herman
Chancellor

",Campus Charitable Fund Drive
Sat Nov 15 2008,20081106112816-027161,"      To: All Undergrad Students & All Grad Students <everybody@illinois.edu> 
    From: ""University Student Financial Services"" <usfscomail@uillinois.edu>

Reply-To: usfscomail@uillinois.edu
 Subject: MASSMAIL - Tuition Tax Documents 2008","Dear Student:

The University of Illinois is pleased to announce that you may sign up to 
receive your 2008 (and all future years) federal tax credit information 
electronically rather than by regular mail. This means you will receive 
your 2008 IRS Form 1098-T from the University in the shortest possible 
time to expedite your taking advantage of any tuition tax credit you 
might qualify for. 

If you received your 2007 University of Illinois 1098-T electronically, 
you do not need to sign up again and may discard this message.

But if you haven't already signed up, all you have to do is complete an 
online consent form and provide a valid email address - it can even be 
your parent's if you wish.  Simply visit www.1098T.com and complete the 
following steps:
1.	Select ""Access My Record"". 
2.	To login using UIN, select ""clicking here"" in the first 
paragraph. 
3.	Enter your UIN and last name then select ""login"". 
4.	Enter your first name, then select ""next"". 
5.	Enter your mother's maiden name, and date of birth (using format 
mm/dd/yyyy) then select ""next"". 
6.	The system will assign you a pin; then select ""proceed"". Note: we 
recommend that you save your PIN for future use, however if you lose it 
you need only repeat the above steps and the system will recall PIN 
(provided you enter the same mother's maiden name and date of birth). 
7.	Scroll down through the text of the next screen until you 
reach ""FORM STATUS"" then select the blue link titled ""(Receive 1098-T 
Forms Electronically)"". 
8.	Select the check box next to ""University of Illinois"", type in a 
valid email address then select ""Grant Consent"". 
9.	Read the terms then select ""accept"". 
Please sign up at your earliest convenience.

Should you have any questions or concerns, please contact University 
Student Financial Services and Cashier Operations (USFSCO) at 
usfscohelp@uillinois.edu, or by phone at:
 UIC:	(312) 996-8574
UIS:	(217) 206-6727
UIUC:	(217) 333-2180
",Tuition Tax Documents 2008
Thu Oct 30 2008,20081029154614-016474,"      To: All Faculty & All Academic Professionals & All Civil Service Staff &
           All Undergrad Students & All Grad Students <everybody@illinois.edu> 
    From: ""Chancellor Richard Herman"" <chancellor@illinois.edu>

Reply-To: chancellor@illinois.edu
 Subject: MASSMAIL - Campus Economic Outlook","Dear Colleagues,

You have recently received a message from President White on the economic
outlook for all of the campuses of the University of Illinois.  He has
charged leadership of each campus with the task of designing contingency
plans to cover whatever financial realities we ultimately face in light of
the declining state and national economies.  I write to you today to assure
you that thoughtful planning is under way with our campus administrators
including the vice chancellors, the Chancellor's Cabinet, the Council of
Deans, and directors and department heads. Representatives of the faculty,
staff, and students will also be involved through the Senate and other
advisory bodies.

I have personally experienced this situation twice before - once here, once
elsewhere - and on each occasion I saw a stronger institution emerge.  This
is possible again if the answers to the financial questions we face are
grounded in sound institutional principles and values. We must (and will)
find ways to respond to our financial circumstances that build on our
accomplishments of recent years, allow us to continue our forward movement,
and protect our missions of teaching, research, economic development, and
public engagement.  

Should we face this challenge, we will have to make prudent, focused
decisions. We must examine anew what is most important to our missions and
our aspirations, what must be protected, and where investments must still
be made. Guided by the campus' strategic plan we developed a shared vision
for this institution which requires us to: 

o assure student access to a quality education across all income levels;
o safeguard the quality of our faculty and the education we offer;
o secure the base of excellence for which we are justly known-our research
activities and related engagement with the public; and 
o preserve our capacity to selectively invest in high potential endeavors.

The means by which we implement these principles will need to be devised
through careful collaboration under our shared governance model. One thing
is clear: we will need to engage our collective entrepreneurial energies to
seek additional sources of funding. Hence greater efforts to raise
resources from individuals, the private sector, foundations and agencies,
must be encouraged.  And to that end, we must continue to argue that public
higher education is a social good and an essential investment in meeting
society's critical needs. This is not a time for retrenchment or scaling
back our aspirations for the future. The next several years will be
challenging ones for all of us, but if we manage our way wisely through
this challenging time we will emerge on the other side positioned to move
ahead rapidly as new funds become available. 

I am asking each of you to be sensitive to others in this trying time and
recognize that there may be members of our community who are experiencing a
particularly stressful period.  Please look at how work is accomplished
within your unit and share your suggestions as to how to work smarter, with
greater economies.  Mindful that personnel, equipment and utilities
comprise the largest components of our expenses, I ask that, where
possible, you delay creating new jobs, filling vacancies, or making
equipment purchases and to redouble our efforts to conserve resources on
campus. 
 
Your excellence and dedication are our most valuable resources for
addressing the challenges that this period brings. The campus has for a
long time been a wonderful place to make a career. The larger economic
downturn will not, and cannot, be allowed to change that.  

Very truly yours,

Richard Herman
Chancellor",Campus Economic Outlook
Wed Oct 29 2008,20081029090432-022876,"      To: All Faculty & All Academic Professionals & All Civil Service Staff &
           All Undergrad Students & All Grad Students <everybody@illinois.edu> 
    From: ""Interim Police Chief Jeff Christensen"" <jchriste@illinois.edu >

Reply-To: dpscomments@illinois.edu
 Subject: Threatening Note","As the Halloween weekend approaches, I write to update you on the 
investigation of a threatening note recently found in the Library. The 
task force established to investigate this threat continues to work toward 
identifying the author and assessing the credibility of the note. Despite 
our efforts, we have no information to lead us to believe the threat is 
any more or less credible than we did when it was first discovered.

The note stated that on Oct. 3, the note's author had damaged a vehicle 
window at the Savoy 16 Theaters at 232 W. Burwash Ave., Savoy. The note 
threatened that on Halloween night (Oct. 31), the suspect intends to shoot 
a person on Green Street.

More specifically, the note stated that ""On Oct. 3rd 2008 I Used a Ruger 
22. caliber rifle to take shot at a black sedan in parking lot of Savoy 
Theatre."" The note further stated that ""On Halloween Night 2008"" another 
shot will be taken ""on Green Street in the night life district.""

We are asking the campus community again for your help in identifying the 
person who left the note. If you have any information regarding who may 
have written the note or damaged the vehicle in Savoy, contact the 
University of Illinois Police Department at 217-333-1216, or you may 
anonymously contact Crime Stoppers by calling 217-373-8477, by submitting 
anonymous tips online at www.373tips.com or by texting Tip397 plus the 
relevant information to 274637 (CRIMES).

Contrary to rumors circulating on campus, this is the ONLY threat we have 
received.

Although this note may be some sort of hoax or prank, we are taking it 
extremely seriously. It is also understandable that this threat is causing 
much concern for students, parents and the university community. We remain 
hopeful that the author of the note will come forward or can be identified 
prior to Halloween to relieve these concerns.

A separate task force has been planning police operations on Halloween.  
Additional police resources, assets, strategies and tactics will be 
deployed as needed throughout the campus district.

People have asked whether they should avoid Green Street on Halloween 
night. Some may choose to not be present where the threat was focused, but 
no matter where you are, we advise you to always be aware of your 
surroundings and to immediately report any suspicious activity to the 
police. 

If you are celebrating Halloween by wearing a costume, you absolutely 
should NOT carry any type of replica, toy or fake weapon. 

We encourage you to sign up for the UI Emergency Notification System at 
emergency.illinois.edu.

Thank you.

Sincerely,

Interim Police Chief Jeff Christensen


",Threatening Note
Wed Oct 29 2008,20081028162610-008880,"      To: All Faculty & All Academic Professionals & All Civil Service Staff
           <everybody@illinois.edu> 
    From: ""Office of Business and Financial Services"" <obfs@uillinois.edu>

Reply-To: obfs@uillinois.edu
 Subject: MASSMAIL - Contributions of Compensable Sick & Vacation Leave","University employees have the opportunity to participate in retirement 
savings plans in addition to SURS, where the employee chooses investment 
option(s) within the plan and invests pre-tax dollars through 
voluntary ""salary reduction.""  Employee contributions, together with 
interest and earnings accumulation, are deferred from federal and state 
income taxes until the funds are withdrawn. 

Two retirement savings plans are available to University employees:  (1) 
the University of Illinois Supplemental 403(b) Retirement Plan, and (2) 
the State of Illinois 457 Deferred Compensation Plan.  Under both the 
University 403(b) and State of Illinois 457 Deferred Compensation Plans, 
employees who are approaching retirement or separation from University 
service are allowed to make contributions to their 403(b) or 457 plans 
from their accrued compensable sick and vacation leave payout. The 
policies related to this process have been updated to clarify procedures 
and adjust deadline requirements, as follows:

* FOR PLAN 403(B) - The employee must have an account set up with an 
approved investment provider under the plan.  The employee must also 
submit a completed Salary Reduction Agreement form to his/her campus 
Benefits Service Center at least 20 days prior to the last date of 
employment. 

* FOR PLAN 457 - The employee must submit a Deferred Compensation 
Election form to his/her campus Benefits Service Center during the 
calendar month prior to the beginning of the final pay period in which 
the employee will work.   For example, the form should be received by the 
campus Benefits Service Center no later than March 31 if the employee's 
last pay period of work will BEGIN in April.

* The employee's DEPARTMENT must ensure that accurate and appropriate 
compensable sick and vacation leave payouts are approved by the 
department and submitted to the University Payroll office no later than 
45 days after the last date of employment.

Links to required forms and more information related to these policies 
and procedures (including how to enroll in these plans, contribution 
limits, catch up provisions, and other regulations) can be found in the 
policy documents at the links below:

-- See NESSIE for the University's Supplemental 403(b) Retirement Plan 
under Internal Revenue Code 403(b):


-- See OBFS Policies & Procedures Manual Section 18.9 for the State of 
Illinois Employees' Deferred Compensation Plan under Internal Revenue 
Code 457:


CONTACT
If you have questions about the 403(b) and/or 457 policies and procedures 
or need further clarification about requirements and timelines, please 
contact your campus Benefits Service Center:

Chicago campus Benefits Service Center (312) 996-6471
Springfield campus Benefits Service Center (217) 206-7142
Urbana campus Benefits Service Center (217) 333-3111


",Contributions of Compensable Sick & Vacation Leave
Tue Oct 28 2008,20081028145910-001067,"      To: All Faculty & All Academic Professionals & All Civil Service Staff &
           All Undergrad Students & All Grad Students <everybody@illinois.edu> 
    From: ""B. Joseph White"" <presidentwhite@uillinois.edu>

Reply-To: presidentwhite@uillinois.edu
 Subject: MASSMAIL - University Outlook","As you know, we have been experiencing a global financial crisis and 
weakening U.S. and Illinois economies. 

I write to let you know what this may mean for the University of Illinois 
and how we are preparing for whatever financial conditions we could face 
in the months ahead. 

My message is that we must be prepared for the possibility of reduced 
state support, some students and families struggling with tuition bills, 
difficult research grant and contract conditions, and reduced income from 
the University's endowment. 

The U.S. and Illinois economies are weakening rapidly as evidenced by 
rising unemployment and other indicators. While the outlook is uncertain, 
we may be in the early stage of serious recessionary conditions. 

Already we are seeing signs of difficult times with more likely to come. 
Most notable are weak state revenues and slow disbursements to state 
agencies, including the University, and a reduction in the value of the 
University's endowment that reflects the serious decline in U.S. and 
global equity markets. 

Overall, the University is in a reasonable position financially to weather 
a difficult economic period. We have diversified revenue sources, some 
financial reserves, and a strong credit rating. We cannot, however, fully 
immunize ourselves from the painful effects of a severe recession, should 
one occur. 

Experience has taught me that to deal with the effects of a recession 
wisely, we must plan for the worst while we hope for the best. That is 
exactly what University leaders -- vice presidents, chancellors and 
provosts, deans and directors -- are doing. 

I have directed University leaders to prepare contingency plans for 
whatever financial hardships may come our way in the next six to 18 
months. Immediately, we must save money by not filling many open jobs and 
by controlling expenditures of all kinds. Further action will be required 
if financial conditions worsen. 

I expect to receive and review these plans in the next several weeks. We 
will then brief the Board of Trustees, faculty governance groups, and 
representatives of employee and student groups. While strong leadership is 
necessary to navigate a period of financial difficulty, the University is 
a family and we want all members of the family to be fully informed and 
involved as appropriate in determining how to manage through hard times. 

I believe that three principles should guide our approach to dealing with 
tough financial times for the University:

* Protect the academic quality that has been built over many decades. 
* Ensure students have access to the courses and programs they need and 
patients have access to the clinical health care on which they depend.
* Share in a thoughtful and fair way whatever sacrifices are required.

This is a good time to remember that we are the stewards of a great 
University that has experienced and successfully weathered nearly every 
challenge over its 140-year history: booms and busts, recessions and 
recoveries, wars and homecomings, turbulence and triumphs. Through it all, 
the University of Illinois has persevered and thrived. I assure you that 
this will again be the case in the present circumstances. 

Thank you for your work and your membership in the University of Illinois 
community. We will keep you posted in the months ahead. 


",University Outlook
Thu Oct 23 2008,20081021085635-024635,"      To: All Academic Professionals & All Civil Service Staff <everybody@illinois.edu> 
    From: ""Elyne Cole"" <e-cole1@illinois.edu>

Reply-To: tpalumbo@illinois.edu
 Subject: MASSMAIL - Holiday Schedule/Reduced Service days","TO:        All Civil Service and Academic Professional Employees

FROM:   Elyne Cole, Associate Provost for Human Resources

DATE:	  October 20, 2008

RE:	  Holiday Schedule/Reduced Service Days 


We are rapidly approaching the holiday season and I wanted to remind you 
of the holiday schedule, which will once again be accompanied by a period 
of Reduced Service Days.  An exact list of the holidays and reduced 
service days for December and January can be found at:  


Please note this is the first year that there will be four reduced 
service days over the holiday period.  Employees have two floating 
holidays that can be used any time from July 1, 2008, until June 30, 
2009, which could be used to cover two of the four reduced service days.  
Departments are strongly encouraged to begin planning for this period and 
discussing these plans with their employees.  Employees should review 
their leave balances available for usage during the reduced service 
days.  


CONSIDERATIONS FOR EMPLOYEES

Gift/Excused Day:

* Staff employees who are required to work any part of that day will be 
compensated in accordance with Policy and Rules, Rule 11.13 (Excused 
Absence with Pay/Gift Day)
.

* This is a gift/excused day.  Employees will not use benefits to cover 
this day.

* For payroll time reporting purposes, time for non-exempt staff 
employees should be recorded as regular hours.  Exempt employees will not 
record any hours, since they record only exception time (e.g., vacation 
or sick leave usage).


Reduced Service Days: 
* It is expected that most units will be closed and most employees will 
not be working on these four days.

* Employees may use floating holidays or vacation to cover this time if 
they do not work.

* In addition, non-exempt employees may use accrued compensatory time or 
take the time without pay.

* Exempt employees who do not have accrued vacation or floating holidays 
to cover this time cannot have their pay docked.  The unit may require 
such employees to work or can work with them to make arrangements so that 
they account for this time in an alternative way.  

* Employees who do not have benefits may choose to work these days.  
Units that plan to be closed during this time AND that have employees who 
want to work during this period should contact the appropriate Human 
Resources office in order to identify alternate worksites for these 
individuals as needed.  Units with staff employees who will be working 
should contact Corbin Smith, Manager of Labor and Employee Relations at 
333-3105 no later than Friday, November 28, 2008.  Units with academic 
employees who want to work should consult with Sharon Reynolds, Associate 
Director of Academic Human Resources at 333-6747.

* Since the reduced service days are not official holidays, employees who 
are required to work and those who choose to work will be paid their 
regular hourly rate of pay.  For payroll time reporting purposes, non-
exempt staff employees who work should record their time for these four 
days as regular hours.  Exempt employees who are required to work on one 
or more of these days should not record anything for the days they work, 
since they record only exception time (e.g., vacation or sick leave 
usage).

I hope our employees are able to take advantage of the opportunity to 
have time off in the period between Christmas and New Year Day.  
Questions regarding reduced service days may be directed to Corbin Smith, 
Manager of Labor and Employee Relations at 333-3105 or Sharon Reynolds, 
Associate Director of Academic Human Resources at 333-6747.

",Holiday Schedule/Reduced Service days
Thu Oct 16 2008,20081016151045-017377,"      To: All Faculty & All Academic Professionals & All Civil Service Staff &
           All Undergrad Students & All Grad Students <everybody@illinois.edu> 
    From: ""Interim Executive Director of Public Safety"" <jchriste@illinois.edu>

Reply-To: dpscomments@illinois.edu
 Subject: University of Illinois Police Advisory","The University of Illinois Police Department requests the help of the 
campus and the community in the investigation of a threat made in a note 
found at the Undergraduate Library.

A library patron found the note October 5 at about 11:30 a.m. in a men's 
restroom.  The note stated that on October 3, the author of the note had 
damaged a vehicle window at the Savoy 16 Theaters, 232 West Burwash 
Avenue, Savoy.  The note threatened that on Halloween night (October 31), 
the suspect intends to shoot a person on Green Street.

The Champaign County Sheriff's Office confirmed that it received a report 
at 2:00 a.m. on October 4 that a window of a vehicle parked at the 
theaters had been damaged sometime overnight.

A multi-jurisdictional team continues to assess and investigate the 
threat.  Members of the team include the Champaign Police Department, the 
Champaign County Sheriff's Office, the Champaign County State's Attorney's 
Office, the Illinois State Police, the University of Illinois Police 
Department and the Urbana Police Department.  The Federal Bureau of 
Investigation also is assisting.

Community members with information regarding this threat or the Savoy 
incident can contact the University of Illinois Police Department at 217-
333-1216.  People also may anonymously contact Crime Stoppers by calling 
217-373-8477, by submitting anonymous tips online at www.373tips.com or by 
texting Tip397 plus the relevant information to 274637 (CRIMES).  As we 
receive additional information that is relevant to your safety, we will 
offer updates to this message.

Students, faculty and staff are encouraged to sign up for the UI Emergency 
Notification System at http://emergency.illinois.edu.

Sincerely,
Jeff Christensen
Interim Executive Director of Public Safety

",University of Illinois Police Advisory
Mon Oct  6 2008,20081006142110-002324,"      To: All Faculty & All Academic Professionals & All Civil Service Staff &
           All Undergrad Students & All Grad Students <everybody@illinois.edu> 
    From: ""President B. Joseph White"" <presidentwhite@uillinois.edu>

Reply-To: presidentwhite@uillinois.edu
 Subject: MASSMAIL - University Employees and the IL State Ethics Law","To:	Members of the University Community
From:	B. Joseph White
Re: 	A Message Concerning University Employees and the 
        Illinois State Ethics Act 

I write to you today with a simple message:

We, the leadership of the University of Illinois, will preserve, protect 
and defend the constitutionally guaranteed rights of every member of our 
University community, including, of course, freedom of speech and 
assembly. We will also preserve, protect and defend academic freedom, 
which is a core value of every great academic institution.  

Why am I communicating this assurance?  

Because the University Ethics Office, which reports to me, recently 
disseminated through its newsletter a briefing on the State Officials and 
Employees Ethics Act that was enacted in 2003.  

The newsletter is not a University policy statement. The purpose of the 
briefing was to familiarize us as state employees with the prohibited 
political activities section of the Ethics Act.    

Much of the briefing is simply informative about the state law. For 
example, it is not proper to use University resources to conduct political 
activity, nor is it proper to conduct certain political activities, such 
as soliciting contributions for a party or candidate, while on University 
time.

However, some of the newsletter's content raised concerns among members of 
our community. The briefing cited certain political activities as 
prohibited that conflict, or appear to conflict, with fundamental 
freedoms.  One involves wearing a pin or T-shirt in support of a political 
party or candidate.  Another involves attending a rally on University 
property.  

Are such practices really prohibited by the Ethics Act? To date, the 
courts have given little if any guidance on the proper interpretation of 
the Ethics Act.  

I have heard from many people about this matter.  One of the most 
thoughtful suggested, and I agree, that University employees should be 
advised that they may engage in the following kinds of activities while on 
University property:
 
-- Attend partisan political rallies, provided that the employees 
   are not on duty
-- Wear partisan political buttons, provided that employees at 
   that time are neither on duty nor in the workplace of the 
   University (many parts of campus are not workplaces) 
-- Display partisan bumper stickers on their vehicles

Going forward, I remain concerned about possible conflicts between the 
Ethics Act and interpretations of its meaning and constitutionally 
protected freedoms and academic freedom.  

Accordingly, the Ethics Office, other members of my staff and I will work 
with state officials to ensure that interpretations of the Ethics Act do 
not restrict constitutionally guaranteed rights of state employees and, in 
the case of higher education and this University, academic freedom.
",University Employees and the IL State Ethics Law
Fri Oct  3 2008,20081001092352-006616,"      To: All Undergrad Students & All Grad Students <everybody@illinois.edu> 
    From: ""Office of the Chancellor"" <homecoming@illinois.edu>

Reply-To: homecoming@illinois.edu
 Subject: MASSMAIL - Homecoming 2008","Greetings!
 
This year's University of Illinois Homecoming is fast approaching and I'm excited to share with you 
an invitation to participate in some of our traditional activities. (Click the link below.)
http://www.admin.uiuc.edu/homecoming/ecard_students/
 
As you will see, for Illinois students, Homecoming is more than just one day or one event. Instead, 
it's a weeklong celebration of orange and blue with activities planned for you - and Illinois faculty, 
staff and alumni - to come together and jointly celebrate our Illini Pride.
 
Make the most of your Illinois experience. Feel the 'NOIS!
 
Richard Herman, Chancellor",Homecoming 2008
Wed Sep 17 2008,20080916133111-026306,"      To: All Faculty & All Academic Professionals & All Civil Service Staff
           <everybody@illinois.edu> 
    From: ""mrhenesy@illinois.edu"" <mrhenesy@illinois.edu>

Reply-To: dkemphue@illinois.edu
 Subject: MASSMAIL - Professional Development Courses ","Professional Development Classes

We received an overwhelming response to the announcement of professional
development courses that BIS will be offering on campus this fall. The
course descriptions, dates, times and costs can be viewed at 
https://www.illinoisbis.com/UIUCFallSchedule.pdf.

All faculty, academic professionals and staff are welcome in these 
classes.  There are still openings in the Project Management class that 
will start on Friday, September 19.

We have received numerous calls asking for entire departments to attend 
various programs and that is definitely possible.  If you have 6 or more 
people (up to 25) who you would like to participate, we will customize the 
class and the per-person cost will be reduced significantly because we do 
not charge by the person for customized programs; we charge by the 
project.  Please call me directly if that is your interest. 

Best Wishes,
Mary Rose Hennessy
Executive Director, U of I BIS
630-505-0500 ex. 225

 

",Professional Development Courses 
Tue Sep 16 2008,20080915151659-028953,"      To: All Faculty <everybody@illinois.edu> 
    From: ""Professor Nicholas Burbules, SEC Chair"" <burbules@illinois.edu>
Reply-To: damrau@illinois.edu

 Subject: MASSMAIL - Can You Really Speak Freely on a Public Campus?","September 14, 2008

Dear Colleagues,

I am writing as Chair of the Senate Executive Committee to let you all 
know about an important series of events being planned this year by the 
Office of the Vice Chancellor for Student Affairs, with participation 
among faculty, students and staff across the campus.

The series is entitled:

Campus Uncensored? Your Rights, Freedoms, and Responsibilities

Purpose: The University is deeply committed to creating and maintaining an 
inclusive, just, and respectful learning community. The University of 
Illinois welcomes and encourages all of its students, faculty, and staff 
to embrace the marketplace of ideas as part of the educational experience. 
It is in this spirit that in 2008-09 the campus will sponsor a series of 
events that highlights the vital roles and meanings of the First Amendment 
and Academic Freedom at the University of Illinois. This program of 
activities has three goals:

To broaden our understanding of the First Amendment. This includes both 
historical and contemporary analyses, and conversations about your rights 
to free speech and other freedoms granted by this amendment;

To enhance awareness of the responsibilities that accompany these 
constitutional rights and freedoms, and;

To encourage students, faculty, and staff to use this understanding and 
awareness for personal and collective application on the campus and in 
everyday life.

The first of the scheduled events is coming this week:

Robert O'Neil 
Wednesday, September 17, 2008 
4:00 pm - 5:30 pm 
213 Gregory Hall
 
""Can You Really Speak Freely on a Public Campus?"" 

The question ""Can You Really Speak Freely on a Public Campus?' is 
deceptively simple. While one might readily assume that a state university 
should provide the freest of all settings, and while it is so in certain 
respects, there are complications. For example, a professor could be 
penalized or even dismissed for egregious plagiarism that would violate no 
civil or criminal laws off campus. This lecture will look more critically 
at this contrast between the public campus and the broader society by 
focusing on three current and contentious issues - regulation of sexually 
harassing speech, restriction of postings by 
extreme animal-rights protesters, and control of profanity and other 
unwelcome speech at state university athletic events. 

Subsequent events will be planned throughout the year, including a faculty 
panel on these issues in February. Watch for more information as the 
schedule is completed:

http://www.studentaffairs.illinois.edu/diversity/uncensored.html

Clearly, first amendment and academic freedom issues go to the heart of 
the kind of campus we want the University of Illinois to be, and many 
recent campus controversies have revolved around conflicting 
understandings of these principles.

I encourage you to take advantage of these events. Where appropriate, you 
might want to include these events, or discussion about them, in your 
courses.

Sincerely,

Nicholas C. Burbules
Chair, Senate Executive Committee


",Can You Really Speak Freely on a Public Campus?
